query_id,split,retrieval_mode,query_type,expected_chunk_ids,answer_rank,top_returned_chunks,failure_reason
GOLD-BGD_ENERGY-NEGATIVE_COUNTRY,dev,lexical,negative_country,,not_applicable,CPS-VNM-p20-01|CPS-VNM-p15-01|CPS-VNM-p08-01|CPS-VNM-p16-01|CPS-VNM-p09-01,negative query returned one or more chunks
GOLD-KHM_WATER-NEGATIVE_SECTOR,dev,lexical,negative_sector,,not_applicable,CPS-KHM-p18-01|CPS-KHM-p17-01,negative query returned one or more chunks
GOLD-LAO_ENERGY-NEGATIVE_COUNTRY,dev,lexical,negative_country,,not_applicable,CPS-VNM-p15-01|CPS-VNM-p21-01|CPS-VNM-p34-02|CPS-VNM-p20-01|CPS-VNM-p16-01,negative query returned one or more chunks
GOLD-BGD_ENERGY-NEGATIVE_COUNTRY,dev,embedding,negative_country,,not_applicable,CPS-IDN-p27-01|CPS-LAO-p13-01|CPS-LAO-p12-01|CPS-PAK-p11-01|CPS-IND-p24-01,negative query returned one or more chunks
GOLD-GHA_ENERGY-SEMANTIC_PARAPHRASE,dev,embedding,semantic_paraphrase,CPS-GHA-p09-01,not_in_top_k,CPS-GHA-p22-01|CPS-GHA-p17-01|CPS-GHA-p18-01|CPS-TJK-p23-01|CPS-MMR-p21-02,expected chunk not returned in frozen Top-K
GOLD-IDN_TECH-DIRECT_KEYWORD,dev,embedding,direct_keyword,CPS-IDN-p11-01,not_in_top_k,CPS-IDN-p23-01|CPS-IDN-p26-02|CPS-IDN-p24-01|CPS-IDN-p29-01|CPS-IDN-p27-01,expected chunk not returned in frozen Top-K
GOLD-IDN_TECH-CROSS_LANGUAGE,dev,embedding,cross_language,CPS-IDN-p11-01,not_in_top_k,CPS-IDN-p26-02|CPS-IDN-p23-01|CPS-IDN-p17-01|CPS-IDN-p29-01|CPS-IDN-p07-01,expected chunk not returned in frozen Top-K
GOLD-KHM_WATER-CROSS_LANGUAGE,dev,embedding,cross_language,CPS-KHM-p10-01,not_in_top_k,CPS-KHM-p16-01|CPS-KHM-p15-01|CPS-KHM-p21-01|CPS-KHM-p21-02|CPS-KHM-p14-01,expected chunk not returned in frozen Top-K
GOLD-KHM_WATER-POLICY_ALIGNMENT,dev,embedding,policy_alignment,CPS-KHM-p10-01,not_in_top_k,CPS-KHM-p15-01|CPS-KHM-p21-01|CPS-KHM-p16-01|CPS-MMR-p09-01|CPS-KHM-p14-01,expected chunk not returned in frozen Top-K
GOLD-KHM_WATER-NEGATIVE_SECTOR,dev,embedding,negative_sector,,not_applicable,CPS-LAO-p13-01|CPS-IDN-p27-01|CPS-IND-p24-01|CPS-LAO-p12-01|CPS-SEN-p27-01,negative query returned one or more chunks
GOLD-LAO_ENERGY-SEMANTIC_PARAPHRASE,dev,embedding,semantic_paraphrase,CPS-LAO-p12-01,not_in_top_k,CPS-GHA-p22-01|CPS-GHA-p18-01|CPS-GHA-p17-01|CPS-TJK-p23-01|CPS-ETH-p07-01,expected chunk not returned in frozen Top-K
GOLD-LAO_ENERGY-NEGATIVE_COUNTRY,dev,embedding,negative_country,,not_applicable,CPS-GHA-p22-01|CPS-GHA-p18-01|CPS-GHA-p17-01|CPS-TJK-p23-01|CPS-ETH-p07-01,negative query returned one or more chunks
GOLD-LKA_HEALTH-DIRECT_KEYWORD,dev,embedding,direct_keyword,CPS-LKA-p16-01,not_in_top_k,CPS-SEN-p28-02|CPS-KGZ-p24-01|CPS-UGA-p18-01|CPS-PRY-p12-01|CPS-BGD-p21-02,expected chunk not returned in frozen Top-K
GOLD-LKA_HEALTH-POLICY_ALIGNMENT,dev,embedding,policy_alignment,CPS-LKA-p16-01,not_in_top_k,CPS-NPL-p23-01|CPS-PHL-p16-01|CPS-IDN-p25-01|CPS-PAK-p10-01|CPS-IDN-p20-01,expected chunk not returned in frozen Top-K
GOLD-MMR_EDU-DIRECT_KEYWORD,dev,embedding,direct_keyword,CPS-MMR-p09-01,not_in_top_k,CPS-MMR-p20-01|CPS-MMR-p19-01|CPS-UZB-p25-01|CPS-VNM-p22-01|CPS-BGD-p17-01,expected chunk not returned in frozen Top-K
GOLD-MMR_EDU-CROSS_LANGUAGE,dev,embedding,cross_language,CPS-MMR-p09-01,not_in_top_k,CPS-MMR-p20-01|CPS-KHM-p18-01|CPS-MMR-p35-01|CPS-UZB-p25-01|CPS-UGA-p16-01,expected chunk not returned in frozen Top-K
GOLD-PAK_ENERGY-CROSS_LANGUAGE,dev,embedding,cross_language,CPS-PAK-p08-01,not_in_top_k,CPS-TJK-p24-01|CPS-TJK-p23-01|CPS-PAK-p16-02|CPS-PAK-p12-01|CPS-TJK-p16-01,expected chunk not returned in frozen Top-K
GOLD-PER_CLIMATE-DIRECT_KEYWORD,dev,embedding,direct_keyword,CPS-PER-p12-01,not_in_top_k,CPS-PER-p15-01|CPS-PER-p07-01|CPS-PER-p26-01|CPS-PER-p06-01|CPS-PER-p16-01,expected chunk not returned in frozen Top-K
GOLD-PRY_ADMIN-POLICY_ALIGNMENT,dev,embedding,policy_alignment,CPS-PRY-p07-01,not_in_top_k,CPS-UGA-p03-03|CPS-LKA-p30-01|CPS-GHA-p09-01|CPS-UGA-p03-02|CPS-IDN-p16-01,expected chunk not returned in frozen Top-K
GOLD-SEN_AGRI-POLICY_ALIGNMENT,dev,embedding,policy_alignment,CPS-SEN-p15-01,not_in_top_k,CPS-SEN-p28-01|CPS-SEN-p23-01|CPS-SEN-p32-01|CPS-SEN-p36-01|CPS-SEN-p03-01,expected chunk not returned in frozen Top-K
GOLD-TJK_ENERGY-SEMANTIC_PARAPHRASE,dev,embedding,semantic_paraphrase,CPS-TJK-p29-01,not_in_top_k,CPS-IDN-p23-01|CPS-KGZ-p16-01|CPS-IND-p22-01|CPS-UZB-p19-01|CPS-TZA-p19-01,expected chunk not returned in frozen Top-K
GOLD-TZA_ENERGY-SEMANTIC_PARAPHRASE,dev,embedding,semantic_paraphrase,CPS-TZA-p19-01,not_in_top_k,CPS-GHA-p17-01|CPS-GHA-p22-01|CPS-MMR-p21-02|CPS-GHA-p18-01|CPS-ETH-p12-01,expected chunk not returned in frozen Top-K
