claim_id,proposal_page,proposal_claim,claim_type,evaluator_can_check,check_location,current_actual_state,contradiction_status,severity,required_action,evidence_file,final_status
CLM-001,1,50개국 ODA 후보군을 분석한다,데이터 범위,Y,앱 개요·순위,마스터 50개국과 Top50 순위가 일치함,MATCH,LOW,유지,KODA_master_score_top50_v21.csv,VERIFIED
CLM-002,1,CPS 27/27을 검색한다,데이터 범위,Y,앱 개요·근거·재현성,27개 PDF와 27개 검색 가능 국가 확인,MATCH,BLOCKER,canonical KPI로 고정,artifacts/ai_upgrade/cps_corpus_validation.json,VERIFIED
CLM-003,3,전체 CPS 921페이지를 처리한다,데이터 범위,Y,README·AI 검증,921페이지 중 검색 가능 901페이지와 미검색 20페이지를 구분함,SCOPE_CLARIFIED,HIGH,전체와 검색 가능 페이지 분모 분리,artifacts/ai_upgrade/cps_corpus_validation.json,VERIFIED
CLM-004,3,CPS 유효 청크 1100개를 검색한다,데이터 범위,Y,앱 개요·AI 검증,공백 없는 유효 청크 1100개 확인,MATCH,HIGH,canonical KPI로 고정,KODA_cps_pdf_chunks.csv,VERIFIED
CLM-005,3,Gold Set 120질의를 검증한다,검색 성능,Y,README·AI 검증,Gold 120·Dev 29·Test 91과 label fingerprint 확인,MATCH,HIGH,canonical KPI로 고정,artifacts/ai_upgrade/retrieval_gold_freeze.json,VERIFIED
CLM-006,4,Filtered Hybrid Recall@5 0.97을 달성한다,검색 성능,Y,README·AI 검증,동결 Test 양성 82질의 Recall@5 1.000으로 목표 이상,MATCH,HIGH,평가 분모와 함께 표시,artifacts/ai_upgrade/retrieval_benchmark_summary.json,VERIFIED
CLM-007,4,Filtered Hybrid MRR 0.89를 달성한다,검색 성능,Y,기존 README·AI 검증,제출 후 다른 검색 실행의 MRR 0.716이 같은 KPI처럼 노출됨,DIRECT_CONFLICT,HIGH,제출 대조 KPI와 제출 후 진단 모집단 분리,artifacts/ai_upgrade/retrieval_benchmark_summary.json,RESOLVED_SCOPE_SEPARATED
CLM-008,4,50개국 점수·순위를 최대오차 0.005 이하로 재현한다,점수 재현,Y,앱 AI 검증·README,저장 구성점수에서 최종 점수와 순위 50/50·최대오차 0.005,MATCH,HIGH,재현 범위를 명시,artifacts/ai_upgrade/score_reproduction_results.csv,VERIFIED
CLM-009,4,Score Lineage 7/7 VERIFIED이다,점수 재현,Y,기존 앱 AI 검증·README,저장 구성점수 이후 최종 가중합과 원자료부터 구성점수까지의 상류 계보가 혼용됨,DIRECT_CONFLICT,HIGH,최종 점수 재현과 제출 후 상류 계보 진단을 분리,artifacts/ai_upgrade/score_lineage_audit_summary.json,RESOLVED_SCOPE_SEPARATED
CLM-010,2,근거마다 Evidence ID를 부여한다,Citation,Y,AI Builder·Evidence Pack,생성 근거가 E01 형식의 안정 ID를 가짐,MATCH,BLOCKER,대표 시나리오 자동검사 유지,tests/test_builder_outputs.py,VERIFIED
CLM-011,2,CPS 문서명과 실제 페이지 Citation을 제공한다,Citation,Y,AI Builder·근거·재현성,문서명·PDF 페이지·청크 ID·원문을 표시함,MATCH,BLOCKER,페이지 범위 자동검사 유지,KODA_cps_pdf_chunks.csv,VERIFIED
